"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37119006009, NC","37119006009","=""37119006009""","74.3"
"37119006010, NC","37119006010","=""37119006010""","75.4"
"37119006103, NC","37119006103","=""37119006103""","81.1"
"37119006104, NC","37119006104","=""37119006104""","77.1"
"37119006105, NC","37119006105","=""37119006105""","77.7"
"37119006106, NC","37119006106","=""37119006106""","77.7"
"37119006107, NC","37119006107","=""37119006107""","77.9"
"37119006108, NC","37119006108","=""37119006108""","76.6"
"37119006109, NC","37119006109","=""37119006109""","76.0"
"37119006203, NC","37119006203","=""37119006203""","83.3"
"37119006204, NC","37119006204","=""37119006204""","86.0"
"37119006208, NC","37119006208","=""37119006208""","79.8"
"37119006209, NC","37119006209","=""37119006209""","N/A"
"37119006210, NC","37119006210","=""37119006210""","82.7"
"37119006211, NC","37119006211","=""37119006211""","80.1"
"37119006212, NC","37119006212","=""37119006212""","78.6"
"37119006213, NC","37119006213","=""37119006213""","79.9"
"37119006214, NC","37119006214","=""37119006214""","80.3"
"37119006215, NC","37119006215","=""37119006215""","75.8"
"37119006302, NC","37119006302","=""37119006302""","80.5"
"37119006303, NC","37119006303","=""37119006303""","79.9"
"37119006304, NC","37119006304","=""37119006304""","76.3"
"37119006403, NC","37119006403","=""37119006403""","80.6"
"37119006404, NC","37119006404","=""37119006404""","82.3"
"37119006405, NC","37119006405","=""37119006405""","83.9"
"37119006406, NC","37119006406","=""37119006406""","81.9"
"37119006407, NC","37119006407","=""37119006407""","N/A"
"37119980100, NC","37119980100","=""37119980100""","N/A"
"37119980200, NC","37119980200","=""37119980200""","N/A"
"37119980300, NC","37119980300","=""37119980300""","N/A"
"37159050201, NC","37159050201","=""37159050201""","73.4"
"37159050202, NC","37159050202","=""37159050202""","72.3"
"37159050300, NC","37159050300","=""37159050300""","74.2"
"37159050400, NC","37159050400","=""37159050400""","69.2"
"37159050500, NC","37159050500","=""37159050500""","78.2"
"37159050700, NC","37159050700","=""37159050700""","72.4"
"37159050800, NC","37159050800","=""37159050800""","74.9"
"37159050901, NC","37159050901","=""37159050901""","77.1"
"37159050903, NC","37159050903","=""37159050903""","74.3"
"37159050904, NC","37159050904","=""37159050904""","N/A"
"37159051001, NC","37159051001","=""37159051001""","73.0"
"37159051002, NC","37159051002","=""37159051002""","78.1"
"37159051101, NC","37159051101","=""37159051101""","74.7"
"37159051102, NC","37159051102","=""37159051102""","72.8"
"37159051201, NC","37159051201","=""37159051201""","73.9"
"37159051202, NC","37159051202","=""37159051202""","75.7"
"37159051204, NC","37159051204","=""37159051204""","76.5"
"37159051301, NC","37159051301","=""37159051301""","75.0"
"37159051302, NC","37159051302","=""37159051302""","76.8"
"37159051303, NC","37159051303","=""37159051303""","75.7"
"37159051400, NC","37159051400","=""37159051400""","74.5"
"37159051501, NC","37159051501","=""37159051501""","71.0"
"37159051502, NC","37159051502","=""37159051502""","74.5"
"37159051600, NC","37159051600","=""37159051600""","78.0"
"37159051700, NC","37159051700","=""37159051700""","79.1"
"37159051801, NC","37159051801","=""37159051801""","76.5"
"37159051802, NC","37159051802","=""37159051802""","75.4"
"37159051901, NC","37159051901","=""37159051901""","75.8"
"37159051902, NC","37159051902","=""37159051902""","77.5"
"37159052000, NC","37159052000","=""37159052000""","73.8"
